50 152.767010102 151.609752247082 153.924267956918
100 313.549010277 311.86946492034 315.228555633659
150 474.687010044 472.699039596744 476.674980491256
200 631.615010332001 629.13968185387 634.090338810132
250 791.129010212 788.37389528315 793.884125140851
300 950.691010048001 947.62986277928 953.752157316722
350 1103.145010439 1100.04763786439 1106.24238301361
400 1260.76101034 1257.44860639144 1264.07341428856
450 1417.101010048 1413.54196551986 1420.66005457614
500 1576.844010162 1572.94136404489 1580.74665627911
